Reference number,Reference URL,First author,Title,Journal,Year,Country in which trial conducted,Continent in which trial conducted,Clinical trial phase (detail),Clinical trial phase (broad),Mechanism of action,ISCT compliance claimed,ISCT compliance demonstrated,Given indication,Indication class code,Indication class,Route of administration,Source of MSC,Stem or Stromal cell,Allogeneic or autologous,Donor sex,Donor Age,Stringency of characterisation,Osteogenic differentiation capacity,Adipogenic differentiation capacity,Chondrogenic differentiation capacity,Other differentiation capacity,Other differentiation capacity: Type,Co-occurence of differentiation capacity,Differentiation,"Number of characterisation attribute
 tests performed, value reported","Number of characterisation attribute
 tests performed, no value reported","Number of characterisation attribute
 tests performed, total",Viability qualifier,Viability value,Viability status,Viability test,CD73 qualifier,CD73 value,CD73 status,CD73 test,CD90 qualifier,CD90 value,CD90 status,CD90 test,CD105 qualifier,CD105 value,CD105 status,CD105 test,CD34 qualifier,CD34 value,CD34 status,CD34 test,CD45 qualifier,CD45 value,CD45 status,CD45 test,CD11b qualifier,CD11b value,CD11b status,CD11b test,CD14 qualifier,CD14 value,CD14 status,CD14 test,CD79a qualifier,CD79a value,CD79a status,CD79a test,CD19 qualifier,CD19 value,CD19 status,CD19 test,HLA-DR qualifier,HLA-DR value,HLA-DR status,HLA-DR test,CD3 qualifier,CD3 value,CD3 test,CD13 value,CD13 test,CD31 qualifer,CD31 value,CD31 test,CD133 qualifier,CD133 value,CD133 status,CD133 test,CD166 qualifier,CD166 value,CD166 status,CD166 test,CD29 qualifier,CD29 value,CD29 status,CD29 test,CD44 qualifier,CD44 value,CD44 status,CD44 test,CD146 value,CD146 test,CD271 value,CD271 test,STRO-1 value,STRO-1 test,MSCA-1 value,MSCA-1 test,SSEA-4 value,SSEA-4 test,Other markers noted
51,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5137573/,Hur,Intrathecal transplantation of autologous adipose-derived mesenchymal stem cells for treating spinal cord injury: A human trial,JOURNAL OF SPINAL CORD MEDICINE,2016,Korea (Republic of),Asia,I,I,Not stated,n,n/a (not claimed),Spinal cord injury,CNS,Nervous system,Intrathecal,Adipose,Stem,Autologous,Not stated,Not stated,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,3,0,3,minimum,80,release,p,NA,NA,NA,n,minimum,80,release,p,NA,NA,NA,n,NA,NA,NA,n,less than,1,release,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
52,http://www.eurekaselect.com/105867/article,Jin JL,Safety and Efficacy of Umbilical Cord Mesenchymal Stem Cell Therapy in Hereditary Spinocerebellla Ataxia,CURRENT NEUROVASCULAR RESEARCH,2013,China,Asia,I/IIa,I,Not stated,n,n/a (not claimed),Spinocerebellar ataxia,CNS,Nervous system,Intrathecal,Umbilical cord,Stem,Allogeneic,Not stated,Not stated,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,8,0,8,greater than,95,measure,p,NA,95.3,measure,p,NA,98.2,measure,p,NA,99.1,measure,p,NA,0.4,measure,p,NA,0.4,measure,p,NA,NA,NA,n,NA,0.3,measure,p,NA,0.2,measure,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
53,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.1002/stem.1634,Jo,Intra-Articular Injection of Mesenchymal Stem Cells for the Treatment of Osteoarthritis of the Knee: A Proof-of-Concept Clinical Trial,STEM CELLS,2014,Korea (Republic of),Asia,II,II,Multiple,n,n/a (not claimed),Osteoarthritis,MS,Musculoskeletal,Intraarticular,Adipose,Stem,Autologous,Not stated,Not stated,1. % by batch reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,4,2,6,NA,d,NA,m,NA,I,NA,m,NA,I,NA,p,NA,NA,NA,n,NA,I,NA,p,NA,I,NA,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,I,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
54,https://www.sciencedirect.com/science/article/pii/S0303846712000868?via%3Dihub,Karamouzian,Clinical safety and primary efficacy of bone marrow mesenchymal cell transplantaion in subacute spinal cord injured patients,CLINICAL NEUROLOGY AND NEUROSURGERY,2012,Iran,Asia,I/IIa,I,Paracrine,n,n/a (not claimed),Spinal cord injury,CNS,Nervous system,Intrathecal,Bone marrow,Stem,Autologous,Not stated,Not stated,5. No characterisation discussed,"Performed, value reported","Performed, value reported",Not mentioned,Not mentioned,Not mentioned,Demonstrated (OA),Yes,0,1,1,NA,d,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
55,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4104798/,Karantalis,"Autologous Mesenchymal Stem Cells Produce Concordant Improvements in Regional Function, Tissue Perfusion and Fibrotic Burden when Administered to Patients Undergoing Coronary Artery Bypass Grafting - The PROMETHEUS Trial",CIRCULATION RESEARCH,2014,USA,North America,IIa,II,Not stated,n,n/a (not claimed),Coronary artery bypass graft,CVS,Cardiovascular,Intracardiac,Bone marrow,Stem,Autologous,Not stated,Not stated,1. % by batch reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,2,1,3,NA,d,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,I,NA,p,NA,NA,NA,n,NA,I,NA,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
56,https://www.ncbi.nlm.nih.gov/pubmed/24966156,Kim HY,Biological Markers of Mesenchymal Stromal Cells as Predictors of Response to Autologous Stem Cell Transplantation in Patients with Amyotropic Lateral Sclerosis: An Investigator-initiated Trial and In-Vivo Study,STEM CELLS,2014,Korea (Republic of),Asia,II,II,Paracrine,n,n/a (not claimed),Amyotrophic lateral sclerosis,CNS,Nervous system,Intrathecal,Bone marrow,Stromal,Autologous,Not stated,Not stated,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,1,6,7,greater than,80,measure,p,NA,+,NA,m,NA,NA,NA,n,NA,+,NA,m,NA,X,NA,m,NA,X,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,+,NA,m,NA,+,NA,m,NA,n,NA,n,NA,n,NA,n,NA,n,NA
57,https://journals.sagepub.com/doi/abs/10.1177/1545968310369801,Kishk,Case Control Series of Intrathecal Autologous Bone Marrow Mesenchmal Stem Cell Therapy for Chronic Spinal Cord Injury,NEUROREHABILITATION AND NEURAL REPAIR,2010,Egypt,Africa,II,II,Not stated,n,n/a (not claimed),Spinal cord injury,CNS,Nervous system,Intrathecal,Bone marrow,Stem,Autologous,Not stated,Not stated,3. Tests done but % not reported,"Performed, no value reported","Performed, no value reported","Performed, no value reported",Not mentioned,Not mentioned,Claimed (OAC),Yes,0,3,3,NA,d,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,d,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,d,NA,m,NA,n,NA,n,NA,n,NA,n,NA,n,NA
58,https://www.sciencedirect.com/science/article/pii/S1465324917306229?via%3Dihub,Larocca,Image-guided percutaneous intralesional administration of mesenchymal stromal cells in subjects with chronic complete sinal cord injury: a pilot study,CYTOTHERAPY,2017,Brazil,South America,I/IIa,I,Not stated,n,n/a (not claimed),Spinal cord injury,CNS,Nervous system,Local injection,Bone marrow,Stromal,Autologous,Not stated,Not stated,2. Average % reported,"Performed, no value reported","Performed, no value reported",Not mentioned,Not mentioned,Not mentioned,Claimed (OA),Yes,6,0,6,NA,NA,NA,n,average,99.8,measure,p,average,99.9,measure,p,average,98.2,measure,p,NA,NA,NA,n,average,0.3,measure,p,average,0.1,measure,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,average,90.7,measure,p,NA,n,NA,n,NA,n,NA,n,NA,n,NA
59,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.1002/stem.430,Lee JS,A Long-Term Follow-Up Study of Intravenous Autologous Mesenchymal Stem Cell Tansplantation in Patients with Ischemic Stroke,STEM CELLS,2010,Korea (Republic of),Asia,II,II,Paracrine,n,n/a (not claimed),Stroke (ischaemic),CeV,Cerebrovascular,Intravenous,Bone marrow,Stem,Autologous,Not stated,Not stated,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,2,0,2,greater than,95,measure,p,NA,NA,NA,n,NA,NA,NA,n,greater than,90,measure,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
60,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5324263/,Liu X,Comparative analysis of curative effect of bone marrrow mesenchymal stem cell and bone marrow mononuclear cell transplantaion for spastic cerebral palsy,Journal of Translational Medicine,2017,China,Asia,III,III,Paracrine,n,n/a (not claimed),Cerebral palsy,CNS,Nervous system,Intrathecal,Bone marrow,Stem,Autologous,Not stated,Not stated,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,8,0,8,NA,NA,NA,n,minimum,95,measure,p,NA,NA,NA,n,minimum,95,measure,p,maximum,2,measure,p,maximum,2,measure,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,maximum,2,measure,p,NA,NA,n,NA,n,NA,2,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,minimum,95,measure,p,2,p,NA,n,NA,n,NA,n,NA,n,NA
61,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4250058/,Llufriu,Randomized Placebo-Controlled Phase II Trial of Atuologous Mesenchymal Stem Cells in Multiple Sclerosis,PLoS One,2014,Spain,Europe,II,II,Immune,n,n/a (not claimed),Multiple sclerosis,CNS,Nervous system,Intravenous,Bone marrow,Stem,Autologous,Not stated,Not stated,3. Tests done but % not reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,0,5,5,NA,NA,NA,n,NA,+,NA,m,NA,+,NA,m,NA,NA,NA,n,NA,X,NA,m,NA,X,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,+,NA,m,NA,n,NA,n,NA,n,NA,n,NA,n,NA
62,https://pubmed.ncbi.nlm.nih.gov/25926562/,Mathiasen,Bone marrow-derived mesenchymal stromal cell treatment in patiens with severe ischaemic heart failure: a randomized placebo-controlled trial (MSC-HF trial),EUROPEAN HEART JOURNAL,2015,Denmark,Europe,II,II,Paracrine,y,n,Heart failure,CVS,Cardiovascular,Intracardiac,Bone marrow,Stromal,Autologous,Not stated,Not stated,4. Stated as 'standard phenotype',Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,1,0,1,average,90,measure,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
63,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4445989/,Mendonca,Safety and neurological assessments after autologous transplantation of bone marrow mesenchymal stem cells in subjects with chronic spinal cord injury,Stem Cell Research & Therapy,2014,Brazil,South America,I,I,Not stated,n,n/a (not claimed),Spinal cord injury,CNS,Nervous system,Local injection,Bone marrow,Stem,Autologous,Not stated,Not stated,2. Average % reported,"Performed, value reported","Performed, value reported","Performed, value reported",Not mentioned,Not mentioned,Demonstrated (OAC),Yes,7,3,10,NA,NA,NA,n,average,97.5,measure,p,average,96.6,measure,p,average,97.4,measure,p,average,2.3,measure,p,average,2,measure,p,NA,NA,NA,n,average,2.3,measure,p,average,2.4,measure,p,NA,d,NA,m,NA,NA,NA,n,NA,NA,n,NA,n,NA,d,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,d,NA,m,NA,n,NA,n,NA,n,NA,n,NA,n,CD117
64,https://www.ahajournals.org/doi/10.1161/CIRCRESAHA.117.310712,Bartolucci,Safety and Efficacy of the Intravenous Infusion of Umbilical Cord Mesenchymal Stem Cells in Patients With Heart Failure,CIRCULATION RESEARCH,2017,Chile,South America,I/IIa,I,Paracrine,y,n,Heart failure,CVS,Cardiovascular,Intravenous,Umbilical cord,Stem,Allogeneic,Not stated,Not stated,2. Average % reported,"Performed, value reported","Performed, value reported","Performed, value reported",Not mentioned,Not mentioned,Demonstrated (OAC),Yes,11,0,11,greater than,80,release,p,minimum,95,release,p,minimum,95,release,p,minimum,95,release,p,maximum,2,release,p,maximum,2,release,p,NA,NA,NA,n,maximum,2,release,p,NA,NA,NA,n,NA,NA,NA,n,maximum,2,release,p,NA,NA,n,NA,n,NA,0,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,98,NA,p,99.8,p,NA,n,NA,n,NA,n,NA,n,CD49a
65,https://pubmed.ncbi.nlm.nih.gov/27477896/,Panes,"Expanded allogeneic adipose-derived mesenchymal stem cells (Cx601) for complex perianal fistulas in Crohn's disease: a phase 3 randomised, double-blind controlled trial",LANCET,2016,Multiple,Europe,III,III,Immune,n,n/a (not claimed),Perianal fistula (Crohn's),GU,Genito-urinary,Local injection,Adipose,Stem,Allogeneic,Not stated,Not stated,5. No characterisation discussed,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,0,0,0,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
66,https://pubmed.ncbi.nlm.nih.gov/26603576/,Park KJ,Allogeneic adipose-derived stem cells for the treatment of perianal fistula in Crohn’s disease: a pilot clinical trial,The Association of Coloproctology of Great Britain and Ireland,2015,Korea (Republic of),Asia,I/IIa,I,Immune,n,n/a (not claimed),Perianal fistula (Crohn's),GU,Genito-urinary,Local injection,Adipose,Stem,Allogeneic,Not stated,Not stated,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,1,0,1,minimum,80,release,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
67,https://pubmed.ncbi.nlm.nih.gov/26148930/,Perin,A Phase II Dose-Escalation Study of Allogeneic Mesenchymal Precursor Cells in Patients with Ischemic or Nonischemic Heart Failure,CIRCULATION RESEARCH,2015,USA,North America,II,II,Paracrine,n,n/a (not claimed),Heart failure,CVS,Cardiovascular,Intracardiac,Bone marrow,Stem,Allogeneic,Male,Adult,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,1,4,5,minimum,70,release,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,d,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,d,NA,m,NA,NA,n,NA,n,NA,d,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,d,m,NA,n,NA,n,"STRO-1, STRO-3, CC9"
68,https://pubmed.ncbi.nlm.nih.gov/26751635/,Petrou,Safety and Clinical Effects of Mesenchymal Stem Cells Secreting Neurorophic Factor Transplantation in Patients with Amyotrophic Lateral Sclerosis: Results of Phase 1/2 and 2a Clinical trials,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,2016,Israel,Asia,I/IIa,I,Multiple,n,n/a (not claimed),Amyotrophic lateral sclerosis,CNS,Nervous system,Intrathecal,Bone marrow,Stem,Autologous,Not stated,Not stated,5. No characterisation discussed,Not mentioned,Not mentioned,Not mentioned,"Performed, value reported","NTF secretion (BDNF, GDNF)",Claimed (other),No,0,0,0,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
69,https://pubmed.ncbi.nlm.nih.gov/25333752/,Qiao L,A Two-Year Follow-Up Study of Cotransplantation Wih Neural Stem/Progenitor Cells and Mesenchymal Stromal Cells in Ischemic Stroke Patients,CELL TRANSPLANTATION,2014,China,Asia,I/IIa,I,Paracrine,n,n/a (not claimed),Stroke (ischaemic),CeV,Cerebrovascular,Intravenous,Umbilical cord,Stromal,Allogeneic,Not stated,Not stated,5. No characterisation discussed,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,0,0,0,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
70,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3790917/,Rodrigo,Intramyocardial Injection of Autologous Bone Marrow-Derived Ex-Vivo Expanded Mesenchymal Stem Cells in Acute Myocardial Infarction Patients is Feasible and Safe up to 5 Years of Follow-up,Journal of Cardiovascular Translational Research,2013,Netherlands,Europe,I/IIa,I,Paracrine,y,n,Myocardial infarction,CeV,Cerebrovascular,Intracardiac,Bone marrow,Stem,Autologous,Not stated,Not stated,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,1,7,8,average,93,measure,p,NA,+,NA,m,NA,+,NA,m,NA,+,NA,m,NA,X,NA,m,NA,X,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,X,NA,m,NA,NA,n,NA,n,NA,X,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
71,https://www.sciencedirect.com/science/article/pii/S1465324916000153,Satti,"Autologous mesenchymal stromal cell transplantation for spinal cord injury: A Phase I pilot study
",CYTOTHERAPY,2016,Pakistan,Asia,I,I,Not stated,n,n/a (not claimed),Spinal cord injury,CNS,Nervous system,Intrathecal,Bone marrow,Stromal,Autologous,Not stated,Not stated,2. Average % reported,"Performed, no value reported","Performed, no value reported","Performed, no value reported",Not mentioned,Not mentioned,Claimed (OAC),Yes,5,1,6,NA,d,NA,m,greater than,97,measure,p,greater than,97,measure,p,greater than,97,measure,p,less than,3,measure,p,less than,3,measure,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
72,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5123559/,Staff,Safety of intrathecal autologous adipose-derived mesenchymal stromal cells in patients with ALS,NEUROLOGY,2016,USA,North America,I,I,Paracrine,n,n/a (not claimed),Amyotrophic lateral sclerosis,CNS,Nervous system,Intrathecal,Adipose,Stromal,Autologous,Not stated,Not stated,5. No characterisation discussed,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,0,0,0,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
73,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5828512/,Steinberg,Clinical Outcomes of Transplanted Modified Bone Marrow-Derived Mesenchymal Stem Cells in Stroke: A Phase1/2a Study,STROKE,2016,USA,North America,I/IIa,I,Paracrine,n,n/a (not claimed),Stroke (ischaemic),CeV,Cerebrovascular,Local injection,Bone marrow,Stem,Allogeneic,Not stated,Not stated,5. No characterisation discussed,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,0,0,0,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
74,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5657707/,Tsai,Treatment of Spinocerebellar Ataxia With Mesenchymal Stem Cells: A Phase I/IIa Clinical Study,CELL TRANSPLANTATION,2017,Taiwan,Asia,I/IIa,I,Paracrine,n,n/a (not claimed),Spinocerebellar ataxia,CNS,Nervous system,Intravenous,Adipose,Stem,Allogeneic,Not stated,Not stated,2. Average % reported,"Performed, no value reported","Performed, no value reported","Performed, no value reported","Performed, no value reported",OAC described as multipotency test,"Claimed (OAC, other)",Yes,9,0,9,greater than,90,release,p,minimum,95,release,p,minimum,95,release,p,minimum,95,release,p,maximum,2,release,p,maximum,2,release,p,maximum,2,release,p,NA,NA,NA,n,NA,NA,NA,n,maximum,2,release,p,maximum,2,release,p,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
75,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3722100/,Tzouvelekis,"A prospective, non-randomized, no placebo-controlled, phase Ib clinical trial to study the safety of the adipose derived stromal cells-stromal vascular fraction in idiopathic pulmonary fibrosis",Journal of Translational Medicine,2013,Greece,Europe,I,I,Not stated,n,n/a (not claimed),Idiopathic pulmonary fibrosis,Resp,Respiratory,Intravenous,Adipose,Stromal,Autologous,Not stated,Not stated,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,7,2,9,NA,NA,NA,n,average,67.7,measure,p,average,59.3,measure,p,average,50.1,measure,p,average,28.8,measure,p,NA,X,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,54.2,p,NA,X,m,NA,NA,NA,n,NA,NA,NA,n,NA,79.1,NA,p,average,90.3,measure,p,NA,n,NA,n,NA,n,NA,n,NA,n,CD116
76,https://www.celltherapyjournal.org/article/S1465-3249(16)30377-2/fulltext,Vaquero,An approach to personalized cell therapy in chronic complete paraplegia: The Puerta de hierro phase I/II clinical trial,CYTOTHERAPY,2016,Spain,Europe,I/IIa,I,Paracrine,n,n/a (not claimed),Spinal cord injury,CNS,Nervous system,Intrathecal,Bone marrow,Stromal,Autologous,Not stated,Not stated,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,9,0,9,greater than,95,release,p,greater than,90,release,p,greater than,90,release,p,greater than,90,release,p,less than,5,release,p,less than,5,release,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,less than,5,release,p,NA,NA,n,NA,n,NA,5,p,NA,NA,NA,n,greater than,90,release,p,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,"HLA-I, CD80 negative"
77,https://www.celltherapyjournal.org/article/S1465-3249(16)30618-1/fulltext,Vaquero,Repeated subarachnoid administrations of autologous mesenchymal stromal cells supported in autologous plasma improve quality of life in patients suffering incomplete spinal cord injury,CYTOTHERAPY,2017,Spain,Europe,II,II,Paracrine,n,n/a (not claimed),Spinal cord injury,CNS,Nervous system,Intrathecal,Bone marrow,Stromal,Autologous,Not stated,Not stated,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,9,0,9,greater than,95,release,p,greater than,90,release,p,greater than,90,release,p,greater than,90,release,p,less than,5,release,p,less than,5,release,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,less than,5,release,p,NA,NA,n,NA,n,NA,5,p,NA,NA,NA,n,greater than,90,release,p,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,"HLA-I, CD80 negative"
